Year,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
2021,Alaska,Male,15-24 years,0.0,99.0,0.0,0.0
2021,Alaska,Male,25-34 years,18.0,186.0,13.0,0.0
2021,Alaska,Male,35-44 years,28.0,235.0,23.0,0.0
2021,Alaska,Male,45-54 years,67.0,328.0,43.0,0.0
2021,Alaska,Male,55-64 years,120.0,680.0,91.0,0.0
2021,Alaska,Male,65-74 years,131.0,834.0,109.0,0.0
2021,Alaska,Male,75-84 years,100.0,715.0,88.0,0.0
2021,Alaska,Male,85 years and over,53.0,454.0,39.0,0.0
2021,Alaska,Female,Under 1 year,0.0,31.0,0.0,0.0
2021,Alaska,Female,1-4 years,0.0,0.0,0.0,0.0
2021,Alaska,Female,5-14 years,0.0,0.0,0.0,0.0
2021,Alaska,Female,15-24 years,0.0,40.0,0.0,0.0
2021,Alaska,Female,25-34 years,10.0,108.0,0.0,0.0
2021,Alaska,Female,35-44 years,19.0,133.0,15.0,0.0
2021,Alaska,Female,45-54 years,30.0,191.0,20.0,0.0
2021,Alaska,Female,55-64 years,45.0,324.0,33.0,0.0
2021,Alaska,Female,65-74 years,88.0,562.0,75.0,0.0
2021,Alaska,Female,75-84 years,75.0,538.0,65.0,0.0
2021,Alaska,Female,85 years and over,51.0,564.0,39.0,0.0
2022,Alaska,Male,Under 1 year,0.0,39.0,0.0,0.0
2022,Alaska,Male,1-4 years,0.0,0.0,0.0,0.0
2022,Alaska,Male,5-14 years,0.0,12.0,0.0,0.0
2022,Alaska,Male,15-24 years,0.0,84.0,0.0,0.0
2022,Alaska,Male,25-34 years,0.0,169.0,0.0,0.0
2022,Alaska,Male,35-44 years,0.0,216.0,11.0,0.0
2022,Alaska,Male,45-54 years,0.0,264.0,11.0,0.0
2022,Alaska,Male,55-64 years,28.0,574.0,41.0,0.0
2022,Alaska,Male,65-74 years,55.0,753.0,50.0,0.0
2022,Alaska,Male,75-84 years,45.0,642.0,52.0,0.0
2022,Alaska,Male,85 years and over,21.0,396.0,22.0,0.0
2022,Alaska,Female,Under 1 year,0.0,19.0,0.0,0.0
2022,Alaska,Female,1-4 years,0.0,0.0,0.0,0.0
2022,Alaska,Female,5-14 years,0.0,0.0,0.0,0.0
2022,Alaska,Female,15-24 years,0.0,38.0,0.0,0.0
2022,Alaska,Female,25-34 years,0.0,100.0,0.0,0.0
2022,Alaska,Female,35-44 years,0.0,110.0,0.0,0.0
2022,Alaska,Female,45-54 years,11.0,159.0,16.0,0.0
2022,Alaska,Female,55-64 years,14.0,323.0,19.0,0.0
2022,Alaska,Female,65-74 years,40.0,512.0,36.0,0.0
2022,Alaska,Female,75-84 years,38.0,557.0,35.0,0.0
2022,Alaska,Female,85 years and over,45.0,563.0,31.0,0.0
2023,Alaska,Male,Under 1 year,0.0,20.0,0.0,0.0
2023,Alaska,Male,1-4 years,0.0,0.0,0.0,0.0
2023,Alaska,Male,5-14 years,0.0,0.0,0.0,0.0
2023,Alaska,Male,15-24 years,0.0,67.0,0.0,0.0
2023,Alaska,Male,25-34 years,0.0,94.0,0.0,0.0
2023,Alaska,Male,35-44 years,0.0,136.0,0.0,0.0
2021,Arizona,Male,25-34 years,165.0,1770.0,112.0,0.0
2023,Alaska,Male,45-54 years,0.0,160.0,0.0,0.0
2023,Alaska,Male,55-64 years,0.0,337.0,16.0,0.0
2023,Alaska,Male,65-74 years,0.0,486.0,30.0,0.0
2023,Alaska,Male,75-84 years,20.0,427.0,23.0,0.0
2023,Alaska,Male,85 years and over,12.0,264.0,17.0,0.0
2023,Alaska,Female,Under 1 year,0.0,10.0,0.0,0.0
2023,Alaska,Female,1-4 years,0.0,0.0,0.0,0.0
2023,Alaska,Female,5-14 years,0.0,0.0,0.0,0.0
2023,Alaska,Female,15-24 years,0.0,18.0,0.0,0.0
2023,Alaska,Female,25-34 years,0.0,58.0,0.0,0.0
2023,Alaska,Female,35-44 years,0.0,84.0,0.0,0.0
2023,Alaska,Female,45-54 years,0.0,96.0,0.0,0.0
2023,Alaska,Female,55-64 years,0.0,188.0,0.0,0.0
2023,Alaska,Female,65-74 years,0.0,290.0,15.0,0.0
2023,Alaska,Female,75-84 years,10.0,300.0,18.0,0.0
2023,Alaska,Female,85 years and over,0.0,356.0,17.0,0.0
2020,Arizona,Male,Under 1 year,0.0,225.0,0.0,0.0
2020,Arizona,Male,1-4 years,0.0,59.0,0.0,0.0
2020,Arizona,Male,5-14 years,0.0,79.0,0.0,0.0
